sample_idx,feature,importance,rank
47257,sensor_52_avg,11.260222434997559,5
47257,sensor_52_max,10.480031967163086,6
47257,sensor_55_max,10.412446022033691,7
47257,sensor_55_avg,10.273551940917969,8
47257,sensor_55_min,9.694053649902344,9
47257,sensor_89_std,9.492236137390137,10
47257,sensor_54_max,8.773860931396484,11
47257,sensor_54_avg,8.76771354675293,12
47257,sensor_54_min,8.243095397949219,13
47257,sensor_51_avg,8.173541069030762,14
47257,sensor_51_max,8.101207733154297,15
47258,sensor_49_max,14.85153865814209,1
47258,sensor_50_max,14.129159927368164,2
47258,sensor_49_avg,12.065191268920898,3
47258,sensor_50_avg,11.835381507873535,4
47258,sensor_52_avg,11.318185806274414,5
47258,sensor_52_max,10.531424522399902,6
47258,sensor_55_max,10.447574615478516,7
47258,sensor_55_avg,10.304183006286621,8
47258,sensor_55_min,9.719244003295898,9
47258,sensor_54_max,8.780399322509766,10
47258,sensor_54_avg,8.775654792785645,11
47258,sensor_89_std,8.692557334899902,12
47258,sensor_54_min,8.245375633239746,13
47258,sensor_51_avg,8.183804512023926,14
47258,sensor_51_max,8.113967895507812,15
55326,sensor_49_max,18.151525497436523,1
55326,sensor_50_max,16.620742797851562,2
55326,sensor_49_avg,13.753472328186035,3
55326,sensor_50_avg,12.968703269958496,4
55326,sensor_52_std,10.181665420532227,5
55326,sensor_186_max,9.082493782043457,6
55326,sensor_186_min,9.080575942993164,7
55326,sensor_186_avg,9.024674415588379,8
55326,sensor_52_avg,7.585329055786133,9
55326,sensor_51_min,7.2844085693359375,10
55326,sensor_178_std,6.540349006652832,11
55326,sensor_179_std,6.476930618286133,12
55326,sensor_52_min,6.398036003112793,13
55326,sensor_15_max,6.180842399597168,14
55326,sensor_51_avg,6.1507182121276855,15
55329,sensor_49_max,18.065731048583984,1
55329,sensor_50_max,16.63918685913086,2
55329,sensor_49_avg,13.920028686523438,3
55329,sensor_50_avg,13.202078819274902,4
55329,sensor_52_avg,12.756925582885742,5
55329,sensor_52_max,12.14108943939209,6
55329,sensor_51_max,9.0804443359375,7
55329,sensor_51_avg,9.00815486907959,8
55329,sensor_186_max,8.20001220703125,9
55329,sensor_186_min,8.193416595458984,10
55329,sensor_186_avg,8.146636962890625,11
55329,sensor_51_min,6.961864471435547,12
55329,sensor_52_min,6.13768196105957,13
55329,sensor_15_max,6.092494964599609,14
55329,sensor_15_avg,6.0725321769714355,15
55332,sensor_49_max,18.06343650817871,1
55332,sensor_50_max,16.64959716796875,2
55332,sensor_49_avg,13.926969528198242,3
55332,sensor_50_avg,13.217572212219238,4
55332,sensor_52_avg,12.590980529785156,5
55332,sensor_52_max,12.001810073852539,6
55332,sensor_51_max,9.0800142288208,7
55332,sensor_51_avg,8.993014335632324,8
55332,sensor_186_max,8.162639617919922,9
55332,sensor_186_min,8.149812698364258,10
55332,sensor_186_avg,8.099405288696289,11
55332,sensor_51_min,6.929636478424072,12
55332,sensor_15_max,6.069642543792725,13
55332,sensor_52_min,6.047237396240234,14
55332,sensor_15_avg,6.046628952026367,15
55334,sensor_49_max,18.065616607666016,1
55334,sensor_50_max,16.685321807861328,2
55334,sensor_49_avg,13.944509506225586,3
55334,sensor_50_avg,13.228434562683105,4
55334,sensor_52_avg,12.509868621826172,5
55334,sensor_52_max,11.952093124389648,6
55334,sensor_51_max,9.160544395446777,7
55334,sensor_51_avg,9.07588005065918,8
55334,sensor_186_max,8.751729965209961,9
55334,sensor_186_min,8.738621711730957,10
55334,sensor_186_avg,8.701789855957031,11
55334,sensor_51_min,7.032049179077148,12
55334,sensor_15_max,6.133886814117432,13
55334,sensor_15_avg,6.107120037078857,14
55334,sensor_52_min,6.028056621551514,15
55337,sensor_49_max,18.07774543762207,1
