sample_idx,feature,importance,rank
66,sensor_198_std,0.38643181324005127,13
66,sensor_192_std,0.3552103340625763,14
66,sensor_40_std,0.2833980619907379,15
67,sensor_42_std,9.090898513793945,1
67,sensor_42_max,4.513556003570557,2
67,sensor_42_min,3.1649794578552246,3
67,sensor_217_std,1.1858144998550415,4
67,sensor_87_avg,0.8915976285934448,5
67,sensor_87_max,0.8614839911460876,6
67,sensor_87_min,0.8148953318595886,7
67,sensor_42_avg,0.7992944717407227,8
67,sensor_192_std,0.5486516356468201,9
67,sensor_74_std,0.4671918451786041,10
67,sensor_60_std,0.36739596724510193,11
67,sensor_15_std,0.3061818480491638,12
67,sensor_58_std,0.30549588799476624,13
67,sensor_7_std,0.2944181263446808,14
67,sensor_59_std,0.24899490177631378,15
68,sensor_42_std,9.084095001220703,1
68,sensor_42_max,4.5622406005859375,2
68,sensor_42_min,3.0192694664001465,3
68,sensor_87_min,0.8071311116218567,4
68,sensor_87_avg,0.7623859643936157,5
68,sensor_87_max,0.7112975120544434,6
68,sensor_46_max,0.4730682373046875,7
68,sensor_42_avg,0.4547942578792572,8
68,sensor_53_min,0.44851601123809814,9
68,sensor_59_std,0.40264996886253357,10
68,sensor_58_std,0.38256579637527466,11
68,sensor_53_avg,0.2695329189300537,12
68,sensor_190_std,0.26946672797203064,13
68,sensor_60_std,0.25137487053871155,14
68,sensor_195_std,0.2220425009727478,15
69,sensor_42_std,9.175711631774902,1
69,sensor_42_max,4.5489349365234375,2
69,sensor_42_min,3.0395126342773438,3
69,sensor_87_min,0.9327216744422913,4
69,sensor_87_avg,0.901580810546875,5
69,sensor_87_max,0.8797215819358826,6
69,sensor_40_std,0.5095093250274658,7
69,sensor_7_std,0.3581543266773224,8
69,sensor_46_max,0.3560444712638855,9
69,sensor_181_std,0.31431832909584045,10
69,sensor_58_std,0.3037758469581604,11
69,sensor_59_std,0.2737346291542053,12
69,sensor_61_std,0.26831337809562683,13
69,sensor_15_std,0.26696789264678955,14
69,sensor_205_std,0.24251331388950348,15
70,sensor_42_std,9.125696182250977,1
70,sensor_42_max,4.571099758148193,2
70,sensor_42_min,2.9800190925598145,3
70,sensor_94_std,0.8847556710243225,4
70,sensor_87_min,0.8396345376968384,5
70,sensor_87_avg,0.7948853373527527,6
70,sensor_87_max,0.737101137638092,7
70,sensor_46_max,0.48115354776382446,8
70,sensor_53_min,0.4059598743915558,9
70,sensor_15_std,0.3028317987918854,10
70,sensor_58_std,0.30065807700157166,11
70,sensor_53_avg,0.2916097342967987,12
70,sensor_60_std,0.2862348258495331,13
70,sensor_198_std,0.2749401032924652,14
70,sensor_61_std,0.23845358192920685,15
71,sensor_42_std,8.997753143310547,1
71,sensor_42_max,4.521712779998779,2
71,sensor_42_min,3.0781426429748535,3
71,sensor_87_min,0.6741121411323547,4
71,sensor_87_avg,0.6236920356750488,5
71,sensor_87_max,0.5694560408592224,6
71,sensor_198_std,0.5684071183204651,7
71,sensor_53_min,0.3800581097602844,8
71,sensor_190_std,0.35365432500839233,9
71,sensor_46_max,0.3213827610015869,10
71,sensor_15_std,0.15199093520641327,11
71,sensor_58_std,0.14988623559474945,12
71,sensor_60_std,0.14754658937454224,13
71,sensor_59_std,0.14633938670158386,14
71,sensor_46_avg,0.14610838890075684,15
72,sensor_42_std,8.94750690460205,1
72,sensor_42_max,4.429505348205566,2
72,sensor_42_min,2.625460147857666,3
72,sensor_87_min,0.5277199149131775,4
72,sensor_87_avg,0.47264131903648376,5
72,sensor_7_std,0.4559563398361206,6
72,sensor_87_max,0.4304939806461334,7
72,sensor_190_std,0.38900327682495117,8
72,sensor_46_max,0.3689854145050049,9
72,sensor_53_avg,0.3269932270050049,10
72,sensor_217_std,0.31361111998558044,11
72,sensor_59_std,0.2889235019683838,12
72,sensor_60_std,0.27006223797798157,13
72,sensor_46_avg,0.1408325582742691,14
72,sensor_61_std,0.12036505341529846,15
73,sensor_42_std,8.538351058959961,1
73,sensor_42_max,4.393836975097656,2
73,sensor_42_min,2.4595062732696533,3
73,sensor_87_min,0.9312519431114197,4
73,sensor_87_avg,0.8685553669929504,5
73,sensor_87_max,0.8203085064888,6
73,sensor_217_std,0.5477688908576965,7
73,sensor_40_std,0.4913586378097534,8
73,sensor_198_std,0.4588880240917206,9
73,sensor_59_std,0.4116898775100708,10
73,sensor_58_std,0.4020567536354065,11
73,sensor_1_max,0.3569019138813019,12
73,sensor_7_std,0.34845414757728577,13
73,sensor_46_max,0.3436206877231598,14
73,sensor_190_std,0.3381568491458893,15
74,sensor_42_std,8.46662425994873,1
